T,E,M,C,X
1.5,-0.9763666666666666,0.987051111111111,0.04476399999996122,0.02346983999996155
1.54,-0.9720466666666666,0.9844088888888888,0.05133291917317823,0.0299617431456776
1.58,-0.96766,0.9819111111111111,0.05280704837186684,0.03224303797472928
1.62,-0.9603088888888889,0.9771533333333333,0.0666864451557188,0.04716608779147093
1.66,-0.955771111111111,0.9744911111111111,0.08236575377814709,0.05901354484605516
1.7,-0.9496266666666666,0.9705977777777777,0.07604117800845221,0.058712781699341576
1.74,-0.9440288888888888,0.9665022222222222,0.0868161521410031,0.07453518263085651
1.78,-0.9340555555555555,0.9601488888888888,0.08779106874834686,0.07887768039952615
1.82,-0.9242666666666666,0.9529733333333332,0.12307370285393907,0.13665874481065965
1.8599999999999999,-0.9165288888888888,0.9480422222222221,0.1187268354723301,0.12525648506568596
1.9,-0.9034288888888888,0.9370777777777777,0.12971394398273153,0.18369070175433413
1.94,-0.8881977777777778,0.9213555555555555,0.16435833185719353,0.42240985108816825
1.98,-0.8824555555555555,0.9215377777777777,0.15797251414253555,0.23914508641974183
2.02,-0.8637466666666667,0.9021444444444444,0.17017220969620123,0.420056710671059
2.06,-0.848991111111111,0.8907377777777777,0.19762872613399649,0.43744935490828485
2.1,-0.83632,0.8779333333333332,0.20344637339379926,0.5164721693121183
2.14,-0.8235133333333333,0.8689955555555555,0.2074256257218145,0.5355050799583946
2.18,-0.7890799999999999,0.8161777777777777,0.2801864826193185,1.5387392456676863
2.2199999999999998,-0.7598199999999999,0.7789066666666666,0.27695482780077846,1.7843001721721543
2.26,-0.7369355555555555,0.7360422222222222,0.3979127913958329,4.499274412979348
2.3,-0.6902266666666667,0.5823177777777777,0.5745932333543429,24.31520222415459
2.34,-0.6405733333333333,0.02345111111111111,0.3086041801608621,61.56387310731243
2.38,-0.6339355555555555,0.4502422222222222,0.4327861018917395,17.749538971055088
2.42,-0.5931488888888888,0.23945555555555553,0.28329585183161377,19.11895863177227
2.46,-0.5787288888888888,0.09983777777777778,0.2980154493577503,43.454817833785
2.5,-0.5645377777777777,0.11395333333333332,0.21933243448888792,22.69257094933333
2.54,-0.5274777777777777,0.06235111111111111,0.20013486749195425,14.096543545056866
2.58,-0.5160133333333333,0.006684444444444444,0.1642807016138177,12.74842366236003
2.62,-0.5037088888888889,0.004686666666666666,0.16798518540100524,13.075954400339267
2.66,-0.4865,0.021506666666666664,0.14670722859781304,7.906182649958228
2.7,-0.47946666666666665,0.055431111111111105,0.15119304983996187,6.458259858436214
2.74,-0.46950888888888886,0.01296,0.11782499452406561,6.962160220600161
2.7800000000000002,-0.4576733333333333,0.040897777777777776,0.12580369718613216,4.4248837474020775
2.8200000000000003,-0.4451733333333333,0.04827555555555555,0.10276725181496661,4.961623048069345
2.8600000000000003,-0.44162888888888885,0.03795777777777778,0.1266129346178305,5.269175507381506
2.9000000000000004,-0.43448666666666663,0.024611111111111108,0.12831266428854557,4.4691607279693475
2.94,-0.42046666666666666,0.001071111111111111,0.10757549580678884,5.029988928193499
2.98,-0.4113222222222222,0.010484444444444444,0.09995144112627327,4.388179680835198
3.02,-0.40340666666666664,0.014224444444444444,0.09997656584262707,4.83326004267844
