T,E,M,C,X
1.5,-0.9986786172839482,0.9993359999999972,8.880102623602207e-08,3.386082902956389e-08
1.54,-0.9983005432098745,0.9991452592592573,1.1095129495537587e-07,4.354828207998639e-08
1.58,-0.9491931851851854,0.1142313333333335,6.90320938486693e-07,0.00014416346259309328
1.62,-0.9974986172839526,0.9987400740740703,1.3402980287040106e-07,5.578729405728456e-08
1.66,-0.9969758024691359,0.9984742962962944,1.6794666865261356e-07,7.195396159754935e-08
1.7,-0.9964036049382721,0.9981830370370368,2.0358198740794317e-07,8.971890322176869e-08
1.74,-0.9957479999999993,0.9978506666666682,2.077239670623558e-07,9.406601149349765e-08
1.78,-0.9453140740740743,4.296296296296308e-06,4.512399442515607e-07,5.875761347698107e-07
1.82,-0.9942208395061729,0.997072962962965,2.451162587652174e-07,1.1752294766169751e-07
1.8599999999999999,-0.993253975308642,0.9965781481481483,3.080899899736891e-07,1.510479053662596e-07
1.9,-0.9404882962962969,7.422222222222221e-05,6.297934991307352e-07,1.2155021182586094e-06
1.94,-0.9912201481481481,0.995530962962962,3.5410403736773454e-07,1.828285498367612e-07
1.98,-0.989804296296297,0.9948057037037047,4.30077599813026e-07,2.267222872966676e-07
2.02,-0.9886506172839509,0.9942065925925946,4.4328229845519006e-07,2.396242739436581e-07
2.06,-0.9870904197530863,0.9933972592592599,5.314197643429573e-07,2.9489587055997256e-07
2.1,-0.9854293827160496,0.9925362962962948,4.831783637340632e-07,2.7656515786506337e-07
2.14,-0.9837441481481493,0.9916578518518512,5.348923529915033e-07,3.1413109559047055e-07
2.18,-0.9819577777777773,0.9907217037037039,6.1862516117406e-07,3.7868375957919253e-07
2.2199999999999998,-0.9799176296296299,0.9896497777777767,6.112949549018618e-07,3.788331947440071e-07
2.26,-0.9777032098765429,0.9884788148148154,6.991621812353872e-07,4.457280641432406e-07
2.3,-0.9752184691358026,0.9871606666666689,7.862583644859124e-07,5.131924324145009e-07
2.34,-0.9726994074074081,0.9858198518518521,8.893842394235448e-07,5.987534171224144e-07
